ID	GeneSymbol	mRNA_Accession	adj.P.Val	P.Value	t	B	logFC	Gene.title
10560481	Fosb///Fosb	NM_008036 	0.002047	2.47E-06	17.3687712	5.48573	5.52269021	FBJ osteosarcoma oncogene B///FBJ osteosarcoma oncogene B
10375443	Havcr2	NM_134250 	0.002208	2.73E-06	17.076411	5.40581	3.81845188	hepatitis A virus cellular receptor 2
10539135	Capg	NM_001042534 	0.002314	2.93E-06	16.8748078	5.34945	4.80945965	"capping protein (actin filament), gelsolin-like"
10469322	Vim	NM_011701 	0.002407	3.12E-06	16.6964841	5.29871	2.14089282	vimentin
10450369	Hspa1a	NM_010479 	0.002472	3.27E-06	16.5593407	5.25912	6.09445662	heat shock protein 1A
10378286	Itgae	NM_008399 	0.002514	3.46E-06	16.4039567	5.21366	3.63157988	"integrin alpha E, epithelial-associated"
10409866	Ctla2b	NM_001145801 	0.002514	3.47E-06	16.3911492	5.20988	3.94920357	cytotoxic T lymphocyte-associated protein 2 beta
10399428	Snord118	NR_028566 	0.002521	3.55E-06	16.3263254	5.19069	6.42797873	"small nucleolar RNA, C/D box 118"
10414360	Lgals3	NM_001145953 	0.002599	3.74E-06	16.1850698	5.14848	3.07848979	"lectin, galactose binding, soluble 3"
10519555	Abcb1b	NM_011075 	0.0026	3.82E-06	16.1245561	5.13023	3.19970314	"ATP-binding cassette, sub-family B (MDR/TAP), member 1B"
10351644	LOC677008///Cd244	AF082803 	0.0026	3.97E-06	16.0186504	5.09803	3.90110269	natural killer cell receptor 2B4-like///CD244 natural killer cell receptor 2B4
10412218	Gzmk	NM_008196 	0.0026	3.98E-06	16.0120166	5.09601	3.43849608	granzyme K
10548345	Klrk1///Klrk1	NM_001083322 	0.0026	4.04E-06	15.9720385	5.08376	4.80513027	"killer cell lectin-like receptor subfamily K, member 1///killer cell lectin-like receptor subfamily K, member 1"
10531724	Plac8	NM_139198 	0.002702	4.28E-06	-15.8180499	5.03616	-4.905948	placenta-specific 8
10390328	Tbx21	NM_019507 	0.002724	4.39E-06	15.7469338	5.01395	2.94496268	T-box 21
10351691	Slamf6	NM_030710 	0.002792	4.58E-06	-15.6334398	4.97818	-3.60055679	SLAM family member 6
10538901	BC005685	BC005685 	0.002889	4.82E-06	15.4961974	4.93442	4.33682592	cDNA sequence BC005685
10427035	Nr4a1	NM_010444 	0.003153	5.35E-06	15.2206759	4.84481	4.33608245	"nuclear receptor subfamily 4, group A, member 1"
10450367	Hspa1a///Hspa1b	NM_010478 	0.003269	5.72E-06	15.0486744	4.78765	5.02923892	heat shock protein 1A///heat shock protein 1B
10440216	Epha6	NM_007938 	0.003269	5.74E-06	-15.0409606	4.78507	-2.85648943	Eph receptor A6
10519983	Fgl2	NM_008013 	0.003273	5.87E-06	14.9810033	4.76491	3.88958276	fibrinogen-like protein 2
10466521	Gcnt1	NM_001136484 	0.003273	5.93E-06	14.9542013	4.75586	3.33278737	"glucosaminyl (N-acetyl) transferase 1, core 2"
10429564	Ly6a	NM_001271416 	0.00331	6.09E-06	14.8854877	4.73255	2.93178498	"lymphocyte antigen 6 complex, locus A"
10590631	Ccr2	NM_009915 	0.003322	6.21E-06	14.8363733	4.71579	2.79500922	chemokine (C-C motif) receptor 2
10412298	Itga1	NM_001033228 	0.003389	6.43E-06	14.7470725	4.68512	4.04014997	integrin alpha 1
10420097	Tinf2	NM_145705 	0.00365	7.04E-06	14.5225753	4.60683	2.00783357	Terf1 (TRF1)-interacting nuclear factor 2
10595633	Bcl2a1d///Bcl2a1c///Bcl2a1b///Bcl2a1a	NM_007534 	0.003686	7.21E-06	14.4616164	4.58527	4.75643175	B cell leukemia/lymphoma 2 related protein A1d///B cell leukemia/lymphoma 2 related protein A1c///B cell leukemia/lymphoma 2 related protein A1b///B cell leukemia/lymphoma 2 related protein A1a
10412211	Gzma	NM_010370 	0.003777	7.56E-06	14.3427815	4.54288	5.56644128	granzyme A
10419288	Gch1	NM_008102 	0.003777	7.61E-06	14.3290032	4.53793	2.98273828	GTP cyclohydrolase 1
10522051	Klf3	NM_008453 	0.003885	7.94E-06	-14.2253394	4.50049	-3.88856743	Kruppel-like factor 3 (basic)
10484894	Ptprj	NM_001135657 	0.00389	8.06E-06	14.187988	4.48691	3.60236566	"protein tyrosine phosphatase, receptor type, J"
10358389	Rgs2	NM_009061 	0.003997	8.39E-06	14.0885273	4.45049	4.31316531	regulator of G-protein signaling 2
10594513		ENSMUST00000101817 	0.00402	8.64E-06	14.0177891	4.42437	3.2211151	
10499394	Lmna	NM_001002011 	0.00402	8.79E-06	13.976293	4.40896	3.16295109	lamin A
10523182	Areg	NM_009704 	0.00402	8.86E-06	13.958092	4.40219	2.51353799	amphiregulin
10404152	Fam65b	NM_001286100 	0.00402	8.90E-06	-13.9460678	4.3977	-2.18423865	"family with sequence similarity 65, member B"
10493812	S100a4	NM_011311 	0.004061	9.11E-06	13.8905756	4.37693	5.98022684	S100 calcium binding protein A4
10502949		ENSMUST00000083804 	0.004184	9.51E-06	-13.7888568	4.33857	-5.0781011	
10406672	Arsb	NM_009712 	0.004186	9.64E-06	13.7567881	4.32639	1.63633031	arylsulfatase B
10482772	Nr4a2	NM_001139509 	0.004186	9.83E-06	13.711217	4.30902	4.22060313	"nuclear receptor subfamily 4, group A, member 2"
10496919	Usp33	NM_001076676 	0.004186	9.96E-06	-13.6791717	4.29676	-2.80197414	ubiquitin specific peptidase 33
10467578	Pik3ap1	NM_031376 	0.004186	1.01E-05	13.6474797	4.2846	2.29461507	phosphoinositide-3-kinase adaptor protein 1
10590623	Cxcr6	NM_030712 	0.004186	1.01E-05	13.6430534	4.28289	3.13973601	chemokine (C-X-C motif) receptor 6
10363070	Lilr4b	NM_001291892 	0.004237	1.04E-05	13.5868613	4.26122	2.4266249	"leukocyte immunoglobulin-like receptor, subfamily B, member 4B"
10542355	Emp1	NM_001288627 	0.004325	1.07E-05	13.5110924	4.2318	2.76362692	epithelial membrane protein 1
10471586	Hspa5	NM_001163434 	0.00453	1.13E-05	13.3769773	4.17917	2.14151956	heat shock protein 5
10586252	Dennd4a	NM_001162917 	0.005521	1.40E-05	12.8962108	3.9845	5.24427708	DENN/MADD domain containing 4A
10591739	Acp5	NM_001102404 	0.005521	1.41E-05	-12.8767487	3.97642	-3.37259971	"acid phosphatase 5, tartrate resistant"
10449527	Stk38	XR_385253 	0.005645	1.46E-05	-12.8027368	3.94553	-2.45846256	serine/threonine kinase 38
10544660	Osbpl3	ENSMUST00000071728 	0.005674	1.49E-05	12.7670665	3.93056	3.40159735	oxysterol binding protein-like 3
10574276	Adgrg3	NM_173036 	0.005723	1.51E-05	12.7239161	3.91237	2.07280219	adhesion G protein-coupled receptor G3
10548333	Cd69	NM_001033122 	0.005741	1.55E-05	12.6772457	3.89261	2.65088503	CD69 antigen
10389207	Ccl5	NM_013653 	0.005741	1.55E-05	12.6697804	3.88944	4.32098346	chemokine (C-C motif) ligand 5
10384458	Plek	NM_019549 	0.005916	1.62E-05	12.5811213	3.85161	3.86326693	pleckstrin
10574259	Adgrg1	NM_001198894 	0.006045	1.67E-05	12.5115111	3.82166	2.10813982	adhesion G protein-coupled receptor G1
10588577	Cish	NM_009895 	0.006107	1.70E-05	12.4669911	3.8024	2.34542699	cytokine inducible SH2-containing protein
10450501	Tnf	NM_001278601 	0.006789	1.92E-05	12.2127037	3.69061	3.71788082	tumor necrosis factor
10339666		---	0.006789	1.93E-05	-12.1954157	3.68291	-2.10860692	
10342519		---	0.006789	1.95E-05	-12.1755824	3.67405	-1.71003149	
10447056	Qpct	NM_027455 	0.007215	2.10E-05	12.0266707	3.60693	2.06215638	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)
10561453	Zfp36	NM_011756 	0.007338	2.15E-05	11.970852	3.58149	1.70921766	zinc finger protein 36
10538890	Notch4///Sympk	AK145002 	0.00735	2.18E-05	11.9464802	3.57034	2.58798359	notch 4///symplekin
10373740	Pik3ip1	ENSMUST00000093399 	0.00735	2.20E-05	-11.9271155	3.56146	-1.82716806	phosphoinositide-3-kinase interacting protein 1
10399038	Zfp386	NM_001004066 	0.007382	2.23E-05	-11.8983929	3.54825	-2.03670468	zinc finger protein 386 (Kruppel-like)
10357604	Ikbke	NM_019777 	0.007663	2.34E-05	-11.801994	3.50363	-2.06836186	inhibitor of kappaB kinase epsilon
10400095	Ifrd1	NM_013562 	0.007746	2.38E-05	11.7605159	3.48429	2.9061402	interferon-related developmental regulator 1
10473125	Itga4	NM_010576 	0.007813	2.44E-05	-11.7122543	3.46168	-3.95510346	integrin alpha 4
10439527	Tigit	NM_001146325 	0.007813	2.45E-05	11.7052236	3.45837	2.28964341	T cell immunoreceptor with Ig and ITIM domains
10409876	Ctla2a	NM_001145799 	0.007891	2.50E-05	11.666247	3.44001	4.59772706	cytotoxic T lymphocyte-associated protein 2 alpha
10584576	Snord14d///Snord14c///Hspa8	NR_028274 	0.00807	2.58E-05	11.6025806	3.40985	2.30569977	"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein 8"
10553299	Ifitm2	XM_006544203 	0.008092	2.61E-05	11.579044	3.39865	3.3543661	interferon induced transmembrane protein 2
10392241	Polg2	NM_015810 	0.008324	2.71E-05	11.5042788	3.36288	1.46733923	"polymerase (DNA directed), gamma 2, accessory subunit"
10444778		ENSMUST00000083339 	0.008401	2.78E-05	11.4493981	3.33644	3.75202224	
10360684	Ephx1	NM_010145 	0.008401	2.83E-05	-11.4115729	3.31813	-2.37433859	"epoxide hydrolase 1, microsomal"
10587639	Nt5e	NM_011851 	0.008401	2.85E-05	11.4013466	3.31316	2.39547339	"5' nucleotidase, ecto"
10345824	Il18rap	NM_010553 	0.008401	2.87E-05	11.3865074	3.30595	2.21794243	interleukin 18 receptor accessory protein
10540472	Bhlhe40	NM_011498 	0.008401	2.88E-05	11.3824803	3.30399	3.06088921	"basic helix-loop-helix family, member e40"
10491952	Mgst2	NM_174995 	0.008401	2.88E-05	-11.3824367	3.30397	-3.27619816	microsomal glutathione S-transferase 2
10586250	Dennd4a	NM_001162917 	0.008401	2.91E-05	11.3623167	3.29416	5.38549055	DENN/MADD domain containing 4A
10598750	Gpr34	NM_011823 	0.008401	2.92E-05	11.3496194	3.28797	2.71396607	G protein-coupled receptor 34
10504761	Notch4///Sympk	AK145002 	0.008606	3.02E-05	11.285674	3.25662	4.43037088	notch 4///symplekin
10346799	Icos	NM_017480 	0.008984	3.19E-05	11.1769261	3.20282	3.53718067	inducible T cell co-stimulator
10385776	Tcf7	NM_009331 	0.008984	3.20E-05	-11.1696521	3.19919	-3.50521122	"transcription factor 7, T cell specific"
10589884	Bcl2a1c	NM_007535 	0.009136	3.29E-05	11.1213447	3.17507	3.52068914	B cell leukemia/lymphoma 2 related protein A1c
10586246	Dennd4a	NM_001162917 	0.009224	3.34E-05	11.0872629	3.15797	5.1112297	DENN/MADD domain containing 4A
10600355	Snora70	NR_002899 	0.009281	3.39E-05	11.0600793	3.14429	2.06502923	"small nucleolar RNA, H/ACA box 70"
10378848	Hsp90aa1	NM_010480 	0.009456	3.48E-05	11.0087565	3.11834	2.43558793	"heat shock protein 90, alpha (cytosolic), class A member 1"
10529711	Clnk	NM_013748 	0.009794	3.63E-05	10.9265632	3.07648	1.42599713	cytokine-dependent hematopoietic cell linker
10598107	Taf1a	NM_001277957 	0.009811	3.67E-05	-10.9084424	3.0672	-2.00857047	"TATA-box binding protein associated factor, RNA polymerase I, A"
10501048	2010016I18Rik	NR_033207 	0.009888	3.73E-05	-10.8789755	3.05207	-1.83575358	RIKEN cDNA 2010016I18 gene
10402615	Hsp90aa1	NM_010480 	0.009979	3.81E-05	10.8387798	3.03135	1.86596817	"heat shock protein 90, alpha (cytosolic), class A member 1"
10586227	Dennd4a	AK158279 	0.009979	3.82E-05	10.8326457	3.02818	4.09108452	DENN/MADD domain containing 4A
10446229	Tnfsf9	NM_009404 	0.010418	4.02E-05	10.7373058	2.97864	4.48560552	"tumor necrosis factor (ligand) superfamily, member 9"
10392063	Limd2	NM_172397 	0.010649	4.14E-05	-10.6821035	2.94971	-1.15774996	LIM domain containing 2
10375343	Rnf145	NM_028862 	0.011073	4.35E-05	-10.5859642	2.89891	-1.24906329	ring finger protein 145
10569707	Myadm	NM_001093764 	0.011073	4.36E-05	10.5818391	2.89672	2.47731432	myeloid-associated differentiation marker
10472846	Pdk1	NM_172665 	0.011098	4.41E-05	-10.5642439	2.88736	-1.86841058	"pyruvate dehydrogenase kinase, isoenzyme 1"
10378568	Mir22hg///Mir22	NR_029739 	0.011229	4.51E-05	10.5190901	2.86325	3.72092962	Mir22 host gene (non-protein coding)///microRNA 22
10568873	Adam8	NM_001291066 	0.011229	4.55E-05	10.5048272	2.85561	1.38141534	a disintegrin and metallopeptidase domain 8
10391488	Rdm1///Rnu2-10	NR_004414 	0.011229	4.56E-05	10.5017332	2.85395	2.97236626	RAD52 motif 1///U2 small nuclear RNA 10
10556280	Swap70	NM_009302 	0.011229	4.59E-05	10.4896591	2.84747	2.40212942	SWA-70 protein
10359434	Fasl	NM_001205243 	0.011374	4.68E-05	10.453142	2.82782	3.69310232	"Fas ligand (TNF superfamily, member 6)"
10449284	Dusp1	NM_013642 	0.011416	4.73E-05	10.4336952	2.81732	3.89563337	dual specificity phosphatase 1
10373542	Dgka	NM_016811 	0.011962	4.99E-05	-10.3358031	2.76412	-3.53487259	"diacylglycerol kinase, alpha"
10587778		ENSMUST00000083947 	0.011983	5.05E-05	10.3142716	2.75235	3.48425864	
10407940	Trgv2///Tcrg-V6///Tcrg-V4///Trgv2	ENSMUST00000103558 	0.011983	5.07E-05	10.3076655	2.74873	3.47897327	"T cell receptor gamma variable 2///T cell receptor gamma, variable 6///T cell receptor gamma, variable 4///T cell receptor gamma variable 2"
10404429	Serpinb9	NM_009256 	0.012173	5.24E-05	10.2474925	2.71563	2.23602852	"serine (or cysteine) peptidase inhibitor, clade B, member 9"
10340588		---	0.012173	5.24E-05	10.2469406	2.71532	1.29345611	
10492428	Tiparp	NM_178892 	0.012173	5.28E-05	10.2324106	2.7073	2.16522509	TCDD-inducible poly(ADP-ribose) polymerase
10531707	Lin54	NM_001115010 	0.012173	5.29E-05	10.2307002	2.70635	2.41360277	lin-54 homolog (C. elegans)
10372082	Nudt4	NM_027722 	0.012335	5.39E-05	10.1951079	2.68663	1.90343465	nudix (nucleoside diphosphate linked moiety X)-type motif 4
10429926	Dgat1	NM_010046 	0.012956	5.70E-05	10.0956046	2.63108	2.18947268	diacylglycerol O-acyltransferase 1
10346790	Ctla4	NM_001281976 	0.013044	5.78E-05	10.0720112	2.61781	2.62767506	cytotoxic T-lymphocyte-associated protein 4
10510574	Errfi1	NM_133753 	0.01313	5.86E-05	10.0488411	2.60475	1.58178071	ERBB receptor feedback inhibitor 1
10543785	Lncpint	NR_110469 	0.013371	6.00E-05	10.0053802	2.58015	1.63584676	"long non-protein coding RNA, Trp53 induced transcript"
10545135	Il12rb2	NM_008354 	0.013638	6.16E-05	9.9593041	2.55394	2.95376029	"interleukin 12 receptor, beta 2"
10465059	Ctsw	NM_009985 	0.014003	6.37E-05	9.9018432	2.52107	1.90699478	cathepsin W
10472235	Dapl1	NM_029723 	0.014015	6.43E-05	-9.8846082	2.51116	-4.63037273	death associated protein-like 1
10530319	Atp8a1	NM_001038999 	0.014015	6.48E-05	-9.8704527	2.50301	-1.71817201	"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1"
10495042	Ppm1j	NM_027982 	0.014015	6.49E-05	9.8675228	2.50132	1.2118692	protein phosphatase 1J
10432785	Krt5	NM_027011 	0.014129	6.58E-05	9.8426569	2.48697	2.91016013	keratin 5
10354418	Nabp1	NM_028696 	0.014389	6.75E-05	9.8003167	2.46244	2.49644248	nucleic acid binding protein 1
10573082	Inpp4b	NM_001024617 	0.014447	6.82E-05	9.7827954	2.45225	1.40245244	"inositol polyphosphate-4-phosphatase, type II"
10514466	Jun	NM_010591 	0.014448	6.86E-05	9.772153	2.44605	2.94062844	jun proto-oncogene
10379650		ENSMUST00000082922 	0.014636	6.99E-05	9.7394564	2.42696	5.65068369	
10569719	A430078G23Rik	NM_001033378 	0.01475	7.09E-05	-9.7157654	2.41309	-1.99498874	RIKEN cDNA A430078G23 gene
10400844	Pygl	NM_133198 	0.014896	7.20E-05	9.6886091	2.39713	2.23401854	liver glycogen phosphorylase
10586244	Dennd4a	NM_001162917 	0.015011	7.30E-05	9.6652337	2.38336	3.68046245	DENN/MADD domain containing 4A
10354191	Rnf149	NM_001033135 	0.015214	7.44E-05	9.6322498	2.36386	1.97958519	ring finger protein 149
10449741	Sik1	NM_010831 	0.015791	7.79E-05	9.5539873	2.3173	1.72251252	salt inducible kinase 1
10586744	Anxa2	ENSMUST00000136282 	0.015791	7.81E-05	9.5491083	2.31438	4.76093808	annexin A2
10367843	Utrn	NM_011682 	0.016287	8.16E-05	-9.4763791	2.2707	-1.28836942	utrophin
10470665	Setx	NM_198033 	0.016287	8.20E-05	-9.4687444	2.2661	-1.79838627	senataxin
10483249	Galnt3	NM_015736 	0.016287	8.23E-05	9.4609452	2.26139	2.48437546	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3
10400006	Ahr	NM_013464 	0.016287	8.25E-05	9.4582526	2.25976	2.89582398	aryl-hydrocarbon receptor
10403352	Klf6	BC020042 	0.01659	8.48E-05	9.4109592	2.23109	2.09426008	Kruppel-like factor 6
10505858	Gm13288///Gm13275///Gm13272///Gm13290///Gm13271///Ifnz	NM_001085528 	0.01659	8.50E-05	9.40848	2.22959	1.20489013	predicted gene 13288///predicted gene 13275///predicted gene 13272///predicted gene 13290///predicted gene 13271///interferon zeta
10503995	Dnaja1	NM_001164671 	0.016612	8.56E-05	9.3959777	2.22198	1.74696637	DnaJ heat shock protein family (Hsp40) member A1
10558773	B4galnt4	NM_177897 	0.016612	8.60E-05	9.387593	2.21687	1.39567246	"beta-1,4-N-acetyl-galactosaminyl transferase 4"
10597743	Cx3cr1	NM_009987 	0.016717	8.70E-05	9.3679065	2.20486	3.20442761	chemokine (C-X3-C motif) receptor 1
10425364	Atf4	NM_009716 	0.017041	8.92E-05	9.3269071	2.17976	1.65447756	activating transcription factor 4
10441530	Sytl3	NM_031395 	0.017411	9.17E-05	9.2823228	2.15232	2.46781265	synaptotagmin-like 3
10399360	Rhob	NM_007483 	0.017442	9.28E-05	9.2627504	2.14023	1.379544	ras homolog family member B
10401382	Numb	NM_001136075 	0.017442	9.28E-05	-9.2614252	2.13941	-1.18662535	numb homolog (Drosophila)
10344449		---	0.01778	9.51E-05	-9.2210091	2.11435	-1.02454285	
10504757	BC005685	BC005685 	0.018179	9.78E-05	9.1759077	2.08624	4.82576802	cDNA sequence BC005685
10482880	Baz2b	NM_001001182 	0.018279	9.89E-05	-9.1582914	2.07522	-1.8459462	"bromodomain adjacent to zinc finger domain, 2B"
10378570		ENSMUST00000134345 	0.018581	1.01E-04	9.1229746	2.05306	2.65137568	
10365003	Snord37	NR_028549 	0.018675	1.02E-04	9.1061881	2.04249	1.89302193	"small nucleolar RNA, C/D box 37"
10421293	Ppp3cc	NM_008915 	0.018689	1.03E-04	9.0964448	2.03635	1.97628705	"protein phosphatase 3, catalytic subunit, gamma isoform"
10401244	Actn1	NM_134156 	0.019097	1.05E-04	-9.0530725	2.00892	-2.63593664	"actinin, alpha 1"
10396079	Klhdc1	NM_178253 	0.019342	1.07E-04	-9.0241577	1.99056	-1.10570202	kelch domain containing 1
10354111	Aff3	NM_001290814 	0.020988	1.18E-04	-8.87957	1.89776	-1.75576835	"AF4/FMR2 family, member 3"
10538892	Notch4///Sympk	M11024 	0.020988	1.18E-04	8.8771734	1.89621	2.60967539	notch 4///symplekin
10351039	Gas5	NR_002840 	0.021007	1.20E-04	8.8527283	1.88036	1.80113209	growth arrest specific 5
10585533	LOC102633596///Dnajb6	NM_001037940 	0.021007	1.20E-04	8.851853	1.87979	1.32179307	dnaJ homolog subfamily B member 6 pseudogene///DnaJ heat shock protein family (Hsp40) member B6
10409278	Nfil3	NM_017373 	0.021007	1.20E-04	8.8427727	1.87389	4.05439849	"nuclear factor, interleukin 3, regulated"
10503695	Bach2	NM_001109661 	0.021007	1.22E-04	-8.8263201	1.86318	-0.99560138	"BTB and CNC homology, basic leucine zipper transcription factor 2"
10347218		ENSMUST00000178786 	0.021007	1.22E-04	8.8238783	1.86159	5.23420269	
10443463	4930567H12Rik///Cdkn1a	NM_001111099 	0.021007	1.22E-04	8.8234214	1.86129	4.11137651	RIKEN cDNA 4930567H12 gene///cyclin-dependent kinase inhibitor 1A (P21)
10548573	Styk1	NM_172891 	0.021007	1.22E-04	8.8199152	1.859	2.50684198	serine/threonine/tyrosine kinase 1
10388938	Wsb1	NM_001042565 	0.021153	1.24E-04	8.7982141	1.84483	1.6396544	WD repeat and SOCS box-containing 1
10506767	Echdc2	NM_001254754 	0.021153	1.24E-04	8.7934809	1.84174	1.14751524	enoyl Coenzyme A hydratase domain containing 2
10392177	Icam2	NM_010494 	0.021184	1.25E-04	-8.7788784	1.83218	-1.05755094	intercellular adhesion molecule 2
10474181	Abtb2	NM_178890 	0.021184	1.26E-04	-8.7754507	1.82993	-1.05079885	ankyrin repeat and BTB (POZ) domain containing 2
10481574	Fam78a	NM_175511 	0.021184	1.27E-04	-8.7604175	1.82007	-1.28202535	"family with sequence similarity 78, member A"
10574246	Adgrg5	NM_001033468 	0.021184	1.28E-04	8.747843	1.8118	1.38298369	adhesion G protein-coupled receptor G5
10342062		---	0.021184	1.28E-04	-8.741798	1.80783	-1.04454619	
10475990	Slc20a1	NM_001159593 	0.021184	1.29E-04	8.738361	1.80556	1.27309078	"solute carrier family 20, member 1"
10510580	Tnfrsf9	NM_001077508 	0.021184	1.29E-04	8.7382676	1.8055	2.54481268	"tumor necrosis factor receptor superfamily, member 9"
10548401	Klrc2	ENSMUST00000145984 	0.022226	1.36E-04	8.6560634	1.7511	2.09147591	"killer cell lectin-like receptor subfamily C, member 2"
10580033	Adgre5	NM_001163029 	0.022296	1.37E-04	-8.6371369	1.7385	-2.27959765	adhesion G protein-coupled receptor E5
10406663	Arsb	NM_009712 	0.022296	1.37E-04	8.6366299	1.73816	2.02736148	arylsulfatase B
10574023	Mt2	NM_008630 	0.022375	1.38E-04	8.6239952	1.72973	2.5550564	metallothionein 2
10586248	Dennd4a	NM_001162917 	0.022745	1.42E-04	8.5873438	1.7052	4.02137122	DENN/MADD domain containing 4A
10359446	Suco	NM_172645 	0.022745	1.42E-04	8.5843731	1.70321	1.73807599	SUN domain containing ossification factor
