	GeneSymbol_GSM2386506_Kupper.txt	mRNA_Accession_GSM2386506_Kupper.txt	adj.P.Val_GSM2386506_Kupper.txt	logFC_GSM2386506_Kupper.txt	GeneSymbol_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	mRNA_Accession_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	adj.P.Val_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	logFC_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	GeneSymbol_GSE79858_Slansky_TIL_v_TN.txt	mRNA_Accession_GSE79858_Slansky_TIL_v_TN.txt	adj.P.Val_GSE79858_Slansky_TIL_v_TN.txt	logFC_GSE79858_Slansky_TIL_v_TN.txt	GeneSymbol_GSE_Anderson_TIL_v_Naive.txt	mRNA_Accession_GSE_Anderson_TIL_v_Naive.txt	adj.P.Val_GSE_Anderson_TIL_v_Naive.txt	logFC_GSE_Anderson_TIL_v_Naive.txt
31	1110051M20Rik	BC089006	0.5986	-0.54216333	1110051M20Rik	NM_175123	0.561553	-0.26975534	1110051M20Rik	NM_175123	0.88810854	0.0333	1110051M20Rik	NM_175123	0.6579999999999999	0.17736870000000002
32	1110059E24Rik	BC023385	0.2276	-1.73680233	1110059E24Rik	ENSMUST00000038830	0.17132	-1.13566509	1110059E24Rik	ENSMUST00000038830	0.11897305	0.483	1110059E24Rik	NM_025423	0.353	0.8015977
33	1110059G10Rik	NM_025419	0.9127	-0.16066933	1110059G10Rik	NM_025419	0.9519350000000001	0.06896595	1110059G10Rik	NM_025419	0.66040459	-0.13	1110059G10Rik	NM_025419	0.0659	1.6810441999999999
34	1190002N15Rik	NM_001033145	0.0718	1.81865633	1190002N15Rik	NM_001033145	0.17132	0.91430893	1190002N15Rik	NM_001033145	0.06842955	-0.44	1190002N15Rik	NM_001033145	0.2558766666666667	1.5679558333333334
35	1190005I06Rik	NM_197988	0.7931	0.23247367	1190005I06Rik	NM_197988	0.529963	0.40668889	1190005I06Rik	NM_197988	0.60831872	0.0867	1190005I06Rik	NM_197988	0.125	0.39081350000000004
36	1190007I07Rik	NM_001135567	0.8114	0.14229133	1190007I07Rik	NM_001135567	0.301612	-0.75092229	1190007I07Rik	NM_001135567	0.68612505	-0.0767	1190007I07Rik	NM_001135567	0.278	0.33155450000000003
37	1300017J02Rik	NM_027918	0.9002	0.09988	1300017J02Rik	NM_027918	0.8362719999999999	-0.12595334	1300017J02Rik	NM_027918	0.055871000000000004	-0.457	1300017J02Rik	NM_027918	0.0469	-1.0544598
38	1500009C09Rik	NR_037698	0.8640000000000001	-0.18848	1500009C09Rik	NR_037697	0.6152029999999999	-0.3567732	1500009C09Rik	NR_037697	0.35406243	-0.237	1500009C09Rik	NR_037697	0.68	-0.1347271
39	1500011B03Rik	NR_027818	0.2038	-1.04729733	1500011B03Rik	NR_027817	0.863975	-0.15764957	1500011B03Rik	NR_027817	0.79164181	-0.0433	1500011B03Rik	NR_027817	0.31634999999999996	-0.32723465
40	1500011K16Rik	NR_015476	0.9147	-0.21163633	1500011K16Rik	NR_015476	0.887283	0.27377582	1500011K16Rik	NR_015476	0.10083322	0.523	1500011K16Rik	NM_175125	0.389	-0.5566118
41	1500015O10Rik	NM_024283	0.316	1.61962333	1500015O10Rik	NM_024283	0.842987	-0.19639015	1500015O10Rik	NM_024283	0.14000325	-0.43	1500015O10Rik	NM_024283	0.659	0.18185346666666669
42	1500035N22Rik	AK005363	0.9973	0.00479433	1500035N22Rik	XR_140695	0.8768219999999999	-0.1398573	1500035N22Rik	XR_140695	0.32501482	-0.253	1500035N22Rik	XR_140695	0.113	-0.8468821
43	1600002H07Rik	BC072612	0.6813	-0.35870100000000005	1600002H07Rik	ENSMUST00000024930	0.82875	0.32497124	1600002H07Rik	ENSMUST00000024930	0.81933404	-0.0567	1600002H07Rik	NM_028056	0.0102	-0.8961578000000001
44	1600002K03Rik	BC146018	0.1564	-1.22797533	1600002K03Rik	NM_027207	0.7623880000000001	-0.31718436	1600002K03Rik	NM_027207	0.19811834	-0.297	1600002K03Rik	NM_027207	0.00599	-0.8541318000000001
45	1600012H06Rik	NM_001083882	0.6412	-0.319815	1600012H06Rik	NM_001083880	0.770895	-0.25392929	1600012H06Rik	NM_001083880	0.15861711	-0.26	1600012H06Rik	NM_001083880	0.480325	-0.39210265
46	1600012P17Rik	BC100356	0.9879	-0.012566	1600012P17Rik	ENSMUST00000062159	0.87925	-0.1050393	1600012P17Rik	ENSMUST00000062159	0.27634343	-0.337	1600012P17Rik	XR_104618	0.16399999999999998	-0.46584220000000004
47	1600014C10Rik	NM_001085385	0.6027	-0.39782067	1600014C10Rik	NM_001085385	0.5368109999999999	-0.37289039	1600014C10Rik	NM_001085385	0.11244776	-0.447	1600014C10Rik	NM_001085385	0.329375	0.10432995000000005
48	1600014C23Rik	NM_028164	0.8849	-0.14199267	1600014C23Rik	NM_028164	0.9823729999999999	-0.02291665	1600014C23Rik	NM_028164	0.65189731	-0.127	1600014C23Rik	NM_028164	0.504	-0.1868411
49	1600015I10Rik	NM_001081273	0.6842	0.217429	1600015I10Rik	NM_001081273	0.7249359999999999	0.26896831	1600015I10Rik	NM_001081273	0.26740071	-0.32299999999999995	1600015I10Rik	NM_001081273	0.397	-0.3164146
50	1600029O15Rik	NR_033522	0.7719	0.19858467	1600029O15Rik	NR_033522	0.8403780000000001	0.08431188	1600029O15Rik	NR_033522	0.36171248	0.09485000000000002	1600029O15Rik	NR_033522	0.0157	0.7014998
51	1700001C02Rik	BC060996	0.8649	-0.16269533	1700001C02Rik	XM_006504170	0.800683	0.15884804	1700001C02Rik	XM_006504170	0.80025967	-0.0633	1700001C02Rik	NM_029285	0.2715	-0.05523170000000002
52	1700001C19Rik	NM_029296	0.9919	-0.01066533	1700001C19Rik	NM_001172091	0.948349	0.05462752	1700001C19Rik	NM_001172091	0.64642276	-0.08	1700001C19Rik	NM_001172091	0.5905	-0.18306194999999997
53	1700001G17Rik	NR_033199	0.557	-0.42222033	1700001G17Rik	NR_033199	0.975266	0.028210400000000004	1700001G17Rik	NR_033199	0.16094468	-0.26	1700001G17Rik	NM_026204	0.0989	-0.525922
54	1700001K19Rik	NM_025488	0.8711	0.12714633	1700001K19Rik	NM_025488	0.794312	0.19113046	1700001K19Rik	NM_025488	0.13889964	-0.26	1700001K19Rik	NM_025488	0.316	0.27811199999999997
55	1700001L05Rik	NR_027980	0.8114	-0.19372767	1700001L05Rik	NR_027980	0.9675540000000001	-0.03242751	1700001L05Rik	NR_027980	0.19460186	-0.313	1700001L05Rik	NM_001033147	0.513	0.1238522
56	1700001L19Rik	BC119515	1.0	-5.767e-05	1700001L19Rik	NM_027035	0.676416	-0.2261226	1700001L19Rik	NM_027035	0.81571246	-0.0467	1700001L19Rik	NM_027035	0.644	0.1535729
57	1700001O22Rik	ENSMUST00000050003	0.7624	-0.24470633	1700001O22Rik	NM_198000	0.961915	-0.03499013	1700001O22Rik	NM_198000	0.01411689	-0.77	1700001O22Rik	NM_198000	0.35100000000000003	0.5918159000000001
58	1700001P01Rik	NM_028156	0.9445	0.06156067	1700001P01Rik	NM_028156	0.9522639999999999	0.07174749	1700001P01Rik	NM_028156	0.47638009	0.22699999999999998	1700001P01Rik	NM_028156	0.2515	0.45779405000000006
59	1700003E16Rik	NM_027948	0.7845	0.19564367	1700003E16Rik	NM_027948	0.9388719999999999	-0.04627029	1700003E16Rik	NM_027948	0.94844107	0.0133	1700003E16Rik	NM_027948	0.375	-0.38730679999999995
60	1700003E24Rik	BC089468	0.7217	0.197632835	1700003E24Rik	NR_103799	0.990976	-0.00781003	1700003E24Rik	NR_103799	0.81619386	-0.0433	1700003E24Rik	NM_183280	0.522	-0.1452872
61	1700003F12Rik	DQ080431	0.6791	-0.28354333	1700003F12Rik	XM_006500334	0.631471	0.21142311	1700003F12Rik	XM_006500334	0.38854307	-0.23	1700003F12Rik	NM_029305	0.962	-0.0019868499999999983
62	1700003H04Rik	NR_015460	0.9156	0.10770467	1700003H04Rik	ENSMUST00000047110	0.677458	-0.23169381	1700003H04Rik	ENSMUST00000047110	0.82717794	-0.0367	1700003H04Rik	NR_015460	0.8055000000000001	-0.008137499999999995
63	1700006A11Rik	BC137977	0.988	-0.013784	1700006A11Rik	XM_006502120	0.925492	-0.11837248	1700006A11Rik	XM_006502120	0.2362725	-0.26	1700006A11Rik	NM_027939	0.94	0.018256599999999998
64	1700006E09Rik	NM_029287	0.8913	0.09551133	1700006E09Rik	NM_029287	0.837874	-0.13074477	1700006E09Rik	NM_029287	0.61327804	-0.10300000000000001	1700006E09Rik	NM_029287	0.948	0.022215799999999997
65	1700006J14Rik	BC098228	0.7275	0.203126	1700006J14Rik	ENSMUST00000041178	0.886461	0.08192073	1700006J14Rik	ENSMUST00000041178	0.97657201	0.0133	1700006J14Rik	NM_177313	0.872	-0.0407905
66	1700007B14Rik	NM_001164235	0.9528000000000001	-0.038392829999999996	1700007B14Rik	NM_001164235	0.959728	0.03282822	1700007B14Rik	NM_001164235	0.77026925	-0.1	1700007B14Rik	NM_001164235	0.6609999999999999	0.0840812
67	1700007E05Rik	AK005701	0.7462	-0.17251633	1700007E05Rik	XM_006544602	0.81288675	-0.03792028499999999	1700007E05Rik	XM_006544602	0.465518185	-0.36075000000000007	1700007E05Rik	XR_002317	0.9790000000000001	0.0139254
68	1700007G11Rik	BC049770	0.9464	0.074339	1700007G11Rik	XM_006535279	0.683033	-0.19442357	1700007G11Rik	XM_006535279	0.26019593	-0.17300000000000001	1700007G11Rik	NM_001024614	0.348	0.2479183
69	1700007K09Rik	NM_027037	0.9839	-0.01918767	1700007K09Rik	NM_027037	0.763756	0.20507579999999997	1700007K09Rik	NM_027037	0.92978095	0.02	1700007K09Rik	NM_027037	0.619	0.21762150000000002
70	1700007K13Rik	BC099566	0.6582	0.320395	1700007K13Rik	ENSMUST00000086370	0.6659	0.20112176	1700007K13Rik	ENSMUST00000086370	0.59642706	-0.113	1700007K13Rik	NM_027040	0.618	0.1834627
71	1700008J07Rik	NR_024331	0.9689	0.06307767	1700008J07Rik	NR_024331	0.978298	-0.02450018	1700008J07Rik	NR_024331	0.29092535	-0.19	1700008J07Rik	NR_024331	0.14355	0.04182239999999998
72	1700008O03Rik	NM_027049	0.8436	-0.12926267	1700008O03Rik	NM_027049	0.9478620000000001	-0.05185633	1700008O03Rik	NM_027049	0.15069322	-0.363	1700008O03Rik	NM_027049	0.38944999999999996	-0.3871408999999999
73	1700008P02Rik	NM_027048	0.6838	0.23355267	1700008P02Rik	NM_027048	0.935183	0.05127908	1700008P02Rik	NM_027048	0.50691716	-0.15	1700008P02Rik	NM_027048	0.858	0.0379296
74	1700009J07Rik	NR_015547	0.988	-0.018217	1700009J07Rik	NR_015547	0.6833859999999999	0.25619897	1700009J07Rik	NR_015547	0.24598671	-0.243	1700009J07Rik	NM_029200	0.885	0.037899300000000004
75	1700009N14Rik	BC116915	0.9266	0.07836367	1700009N14Rik	NM_001081095	0.890173	0.11231876	1700009N14Rik	NM_001081095	0.56060978	-0.13	1700009N14Rik	NM_001081095	0.254	0.22938820000000001
76	1700010B08Rik	NM_029308	0.6897	0.232472	1700010B08Rik	NM_029308	0.8717870000000001	-0.21105983	1700010B08Rik	NM_029308	0.08631967	-0.46299999999999997	1700010B08Rik	NM_029308	0.382	-0.2300271
77	1700010I14Rik	NM_025851	0.9066	-0.171221	1700010I14Rik	NM_025851	0.9187540000000001	0.11570338	1700010I14Rik	NM_025851	0.07754719	-0.5870000000000001	1700010I14Rik	NM_025851	0.03438333333333333	-0.8957104
78	1700011E24Rik	NM_029298	0.7645	0.19332333	1700011E24Rik	NM_029298	0.863975	-0.1162306	1700011E24Rik	NM_029298	0.65008747	-0.187	1700011E24Rik	NM_029298	0.831	0.053850699999999994
79	1700011H14Rik	NM_025956	0.8739	0.10918133	1700011H14Rik	NM_025956	0.736202	-0.26953935	1700011H14Rik	NM_025956	0.55908844	0.10300000000000001	1700011H14Rik	NM_025956	0.9159999999999999	-0.0426908
80	1700011I03Rik	ENSMUST00000079738	0.986	-0.014242	1700011I03Rik	NM_029290	0.728092	-0.27468509999999996	1700011I03Rik	NM_029290	0.74112013	0.08	1700011I03Rik	NM_029290	0.358	0.2932991
81	1700011L22Rik	NM_026315	0.8881	0.127635	1700011L22Rik	NM_026315	0.851619	0.16674164	1700011L22Rik	NM_026315	0.89772361	-0.0267	1700011L22Rik	NM_026315	0.248	0.3192793
82	1700012A03Rik	BC087908	0.9948	-0.00490833	1700012A03Rik	ENSMUST00000031778	0.816805	-0.11627229	1700012A03Rik	ENSMUST00000031778	0.63858935	0.10300000000000001	1700012A03Rik	NM_029587	0.8240000000000001	0.065853
83	1700012B07Rik	ENSMUST00000106674	0.8948	0.11374333	1700012B07Rik	NM_001162428	0.8341850000000001	0.12187424	1700012B07Rik	NM_001162428	0.94901544	-0.0133	1700012B07Rik	NM_001162428	0.919	0.0405355
84	1700012B09Rik	NM_029306	0.99	-0.00869133	1700012B09Rik	NM_029306	0.984131	-0.01275006	1700012B09Rik	NM_029306	0.00362492	2.25	1700012B09Rik	NM_029306	0.195	1.5908111999999999
85	1700012L04Rik	NM_029588	0.5055	-0.431262	1700012L04Rik	NM_001025260	0.89132275	-0.03662625749999999	1700012L04Rik	NM_001025260	0.32150613666666666	-0.20633333333333334	1700012L04Rik	NM_001025260	0.691	0.1766344
86	1700012P22Rik	NM_027056	0.7109	0.21147733	1700012P22Rik	NM_027056	0.855856	-0.12061182	1700012P22Rik	NM_027056	0.24294462	-0.29	1700012P22Rik	NM_027056	0.28850000000000003	-0.157362
87	1700013D24Rik	NM_001177502	0.7889	0.21671167	1700013D24Rik	NM_001177502	0.765545	0.16687881	1700013D24Rik	NM_001177502	0.31558104	-0.317	1700013D24Rik	NM_001177502	0.0342	-0.7977701
88	1700013F07Rik	BC116223	0.8892	-0.17208867	1700013F07Rik	ENSMUST00000029485	0.8844850000000001	0.0834965	1700013F07Rik	ENSMUST00000029485	0.23524884	-0.253	1700013F07Rik	NM_029314	0.48369999999999996	-0.42313105
89	1700013G24Rik	NM_027063	0.34700000000000003	-0.552542	1700013G24Rik	NM_027063	0.980477	-0.01747232	1700013G24Rik	NM_027063	0.53471358	-0.10300000000000001	1700013G24Rik	NM_027063	0.23199999999999998	0.36029029999999995
90	1700013H16Rik	NM_001200013	0.9609	0.03758933	1700013H16Rik	NM_001200013	0.9516030000000001	0.03530958	1700013H16Rik	NM_001200013	0.95276135	0.0133	1700013H16Rik	NM_001200013	0.532	0.1220046
91	1700015E13Rik	BC099563	0.8711	0.11384267	1700015E13Rik	ENSMUST00000056991	0.803822	0.22818813	1700015E13Rik	ENSMUST00000056991	0.11025406	-0.35	1700015E13Rik	NM_001039593	0.223	-0.675304
92	1700016C15Rik	NM_027077	0.7589	0.178188	1700016C15Rik	NM_027077	0.84765	-0.13750319	1700016C15Rik	NM_027077	0.79542232	-0.0967	1700016C15Rik	NM_027077	0.644	0.0937711
93	1700016D06Rik	AY026045	0.9832	-0.021452	1700016D06Rik	ENSMUST00000033906	0.816805	-0.14105014	1700016D06Rik	ENSMUST00000033906	0.44554221	-0.13699999999999998	1700016D06Rik	NM_024271	0.317	-0.21640689999999999
94	1700016H13Rik	ENSMUST00000134926	0.8539	0.13931167	1700016H13Rik	NM_001163550	0.51868	-0.30796157	1700016H13Rik	NM_001163550	0.42017391	-0.13699999999999998	1700016H13Rik	NM_001163550	0.9259999999999999	-0.023986900000000002
95	1700016K19Rik	NM_198637	0.9195	-0.06979067	1700016K19Rik	NM_198637	0.942783	0.04797499	1700016K19Rik	NM_198637	0.14441518	-0.413	1700016K19Rik	NM_198637	0.0505	-0.9587358
96	1700017B05Rik	NM_028820	0.7593	0.31755667	1700017B05Rik	NM_028820	0.826736	0.29825551	1700017B05Rik	NM_028820	0.0367006	0.96	1700017B05Rik	NM_028820	0.18717873333333335	1.6740072999999998
97	1700017D01Rik	NM_027058	0.9123	-0.07792133	1700017D01Rik	NM_027058	0.8428829999999999	-0.10642928	1700017D01Rik	NM_027058	0.43443032	0.16	1700017D01Rik	NM_027058	0.7290000000000001	-0.0695285
98	1700017G19Rik	NR_040445	0.9435	0.056951	1700017G19Rik	NR_040445	0.673331	0.23533245	1700017G19Rik	NR_040445	0.98053357	-0.006670000000000001	1700017G19Rik	NR_040445	0.0486	0.4515902
99	1700017N19Rik	NM_001081246	0.925	-0.067842	1700017N19Rik	NM_001081246	0.8433219999999999	-0.12566735	1700017N19Rik	NM_001081246	0.43581196	-0.11699999999999999	1700017N19Rik	NM_001081246	0.371	0.2007808
100	1700018A04Rik	NR_029439	0.8094	0.093729835	1700018A04Rik	ENSMUST00000140980	0.8685620000000001	0.13835847	1700018A04Rik	ENSMUST00000140980	0.76757209	0.0467	1700018A04Rik	NR_029439	0.087	-0.6274616999999999
101	1700018A14Rik	ENSMUST00000037090	0.9828	0.01946833	1700018A14Rik	AK006077	0.766887	-0.16975673	1700018A14Rik	AK006077	0.8330886999999999	-0.05	1700018A14Rik	NM_001145259	0.594	-0.2411848
102	1700018B08Rik	BC147528	0.6992	-0.21859567	1700018B08Rik	NM_029597	0.940894	0.07605399	1700018B08Rik	NM_029597	0.25165866	-0.253	1700018B08Rik	NM_029597	0.402	-0.36941820000000003
103	1700018B24Rik	NR_003617	0.9534	0.04967367	1700018B24Rik	NR_003617	0.914151	0.07441322	1700018B24Rik	NR_003617	0.8570601000000001	-0.0533	1700018B24Rik	NM_025493	0.797	0.1124768
104	1700018C11Rik	BC048618	0.8881	-0.11190733	1700018C11Rik	ENSMUST00000102861	0.6806270000000001	-0.23572557	1700018C11Rik	ENSMUST00000102861	0.77478532	-0.0833	1700018C11Rik	NM_029324	0.484	-0.3000719
105	1700018F24Rik	NM_027069	0.9009	0.08581233	1700018F24Rik	NM_027069	0.982718	-0.01484418	1700018F24Rik	NM_027069	0.09721976	-0.373	1700018F24Rik	NM_027069	0.893	-0.043963
106	1700019A02Rik	ENSMUST00000072235	0.8632	0.10699000000000003	1700019A02Rik	NM_027070	0.8877299999999999	-0.10647786	1700019A02Rik	NM_027070	0.96476092	0.0167	1700019A02Rik	NM_027070	0.192	-0.3514989
107	1700019B03Rik	BC050809	0.784	-0.18945067	1700019B03Rik	XM_006508924	0.988266	0.01117706	1700019B03Rik	XM_006508924	0.66441181	-0.0767	1700019B03Rik	NM_029598	0.775	0.1011074
108	1700019D03Rik	BC048645	0.9423	0.12728833	1700019D03Rik	NM_144953	0.971673	-0.02263839	1700019D03Rik	NM_144953	0.05166749	1.2	1700019D03Rik	NM_144953	0.17022	1.0540231999999998
109	1700019M22Rik	NM_027076	0.8595	0.142019	1700019M22Rik	NR_103800	0.765545	-0.27506819	1700019M22Rik	NR_103800	0.11116781	-0.39299999999999996	1700019M22Rik	NM_027076	0.316	0.21058739999999998
110	1700019N19Rik	BC049561	0.6323	0.36790933	1700019N19Rik	NM_026208	0.923615	-0.05866735	1700019N19Rik	NM_026208	0.19165111	-0.223	1700019N19Rik	NM_026208	0.649	0.153597
111	1700019O17Rik	NM_027966	0.6025	0.26291133	1700019O17Rik	NM_027966	0.90512	0.07468243	1700019O17Rik	NM_027966	0.3213688	-0.17	1700019O17Rik	NM_027966	0.66	-0.26518359999999996
112	1700020A23Rik	NM_001163483	0.4166	-0.38237967	1700020A23Rik	NM_001163483	0.920132	0.06685308	1700020A23Rik	NM_001163483	0.28839777	-0.26	1700020A23Rik	NM_001163483	0.509	-0.2936038
113	1700020D05Rik	NM_023781	0.9756	0.05080633	1700020D05Rik	NM_023781	0.8557819999999999	-0.15549292	1700020D05Rik	NM_023781	0.91067792	-0.0333	1700020D05Rik	NM_023781	0.21899999999999997	-0.2609469
